pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
240.155 -1.00205 -2.04734 139.762 1.17948 0.970019 613.037 0.875256 0.84847 0.788968 0.941211 31.0153 1.16063 0.066377 462.162 
177.118 -3.04234 1.78805 167.22 -2.95729 -2.00717 332.54 0.680979 0.570926 0.686598 0.377516 25.7593 1.45719 0.322763 609.201 
270.145 -0.797521 2.06028 248.535 0.000735469 -1.08666 572.777 0.853624 0.598555 0.92188 0.616371 12.7591 -1.63452 0.547865 525.165 
147.824 -0.0509287 -1.1212 145.997 2.10751 2.93705 474.771 0.695743 0.76997 0.563332 0.849792 45.1008 1.48651 1.45054 464.884 
185.103 0.0681206 -0.735027 120.93 0.444419 2.02142 309.958 0.699735 0.561721 0.86381 0.841582 43.9215 1.73534 0.286078 413.205 
266.587 0.495078 2.25706 127.682 2.6606 -1.07132 615.65 0.636061 0.658444 0.728959 0.723192 24.5348 1.84676 0.410295 581.03 
166.079 -0.832538 -2.52333 156.475 -0.548712 2.48783 205.823 0.854479 0.640759 0.773727 0.573421 58.0583 0.031719 2.45611 504.873 
180.347 0.860244 -2.45827 151.481 -1.96311 0.350621 723.211 0.755952 0.602234 0.7943 0.922936 5.3956 1.76123 1.0779 372.489 
161.025 1.67021 -2.7329 157.947 -0.275461 0.700298 487.381 0.804037 0.656955 0.795794 0.788971 10.7906 -0.923081 1.62338 348.62 
244.674 0.238562 -1.70095 143.634 -3.17277 1.41312 1074.22 0.615809 0.375156 0.799003 0.774812 9.66561 1.02722 0.385897 556.448 
170.918 -0.760218 2.63794 118.284 0.591467 -0.313082 361.713 0.624132 0.623352 0.860773 0.659018 35.6366 -0.40224 0.0891588 297.262 
232.251 0.578059 -1.51915 148.161 1.58964 1.81899 429.645 0.887345 0.634929 0.775482 0.852353 11.0113 -2.01558 0.49643 516.567 
