pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
897.702 -0.683329 2.04147 785.421 0.686768 -0.871477 2094.38 0.692323 0.471901 0.733726 0.335202 94.3672 2.27741 0.00729546 2962.19 
863.006 -0.35911 1.49576 629.441 0.587427 2.21405 1057.79 0.0774608 0.131538 0.734746 0.708997 724.387 -1.26019 0.332651 2294.72 
264.141 0.990327 2.76142 223.177 1.09151 -2.38498 264.11 0.615925 0.68706 0.762288 0.697695 110.822 0.14931 2.53429 816.116 
648.262 1.10494 -0.864083 440.401 -0.392315 2.07828 1380.11 0.814544 0.600838 0.801366 0.69527 346.654 2.9083 0.630786 1376.83 
1466.88 1.15066 3.02011 219.92 1.19184 -1.50459 1047.05 0.0372279 0.641591 0.903107 0.729084 1512.1 0.0113985 1.51599 1906.21 
1496.07 0.36572 0.201464 393.642 0.47294 -1.35565 1137.09 0.768839 0.362993 0.752822 0.823237 1509.88 -3.08568 0.145547 2183.23 
1450.2 0.345565 -2.65253 1397.31 0.346816 0.469829 2988.5 0.566389 0.133434 0.426654 0.800272 139.154 1.63981 1.15075 2977.28 
1310.63 1.11673 2.55819 770.779 0.669064 -0.340337 2126.33 0.145478 0.4276 0.550122 0.770471 337.127 0.48661 0.826947 3213.11 
1674.49 -0.196924 -0.286611 1477.96 0.458964 2.77376 3472.94 0.34785 0.391041 0.528456 0.671686 242.734 -3.01326 2.64543 3280.76 
1442.14 -0.137497 2.37991 549.717 -0.749704 -0.692362 1939.09 0.218099 0.388996 0.781965 0.737809 853.761 -0.867768 0.106088 2242.7 
1278.99 0.258022 -1.64358 237.893 -0.316808 1.63837 1189.99 0.338417 0.740883 0.78665 0.767348 1236.86 1.36986 0.268504 1776.54 
996.211 1.04094 -3.04419 910.205 0.167506 0.427543 2091.08 0.697801 0.716522 0.585583 0.779007 315.623 0.386108 0.0414357 3316.51 
608.516 -0.022088 -1.92534 504.07 0.259883 1.91775 1077.35 0.477873 0.557917 0.540998 0.746278 62.7159 2.18667 0.268918 1677.27 
1608.06 0.605799 -1.56748 1471.51 0.153481 1.72757 3234.16 0.16291 0.477746 0.493356 0.72425 170.715 0.177951 1.54962 3207.4 
734.491 -1.257 0.00924197 373.762 -0.755519 0.650714 475.859 0.255942 0.727126 0.864307 0.861411 952.639 -2.80203 0.311155 1718.11 
1113.1 -0.256053 1.50737 1043.81 0.39906 -2.27755 2223.83 0.342677 0.715689 0.594339 0.673231 22.233 -2.26585 0.0116937 3751.19 
1470.03 -1.07167 1.72229 215.611 -2.11361 1.40225 694.42 0.947029 0.273456 0.681874 0.85405 1572.67 -1.47183 0.0525323 1801.09 
1677.92 0.00771203 -2.51486 1197.09 -0.693709 0.614213 3181.16 0.349033 0.205915 0.200105 0.708015 530.692 0.699928 0.0731955 3122.91 
401.427 -2.28741 2.38617 225.075 -0.136389 0.150947 955.284 0.69036 0.674281 0.746884 0.771708 217.649 -1.00808 0.252661 1066.52 
1783.7 -0.668674 -2.39285 446.06 -0.512496 1.6155 1871.19 0.44204 0.249626 0.390048 0.903309 1209.69 0.647358 0.968145 2759.07 
346.448 1.61174 2.90662 291.691 0.221731 -0.536399 792.372 0.710685 0.596569 0.752897 0.729775 24.6564 2.55644 0.350179 1053.4 
1048.09 -1.14209 -1.40985 340.152 -0.472285 -0.379039 761.467 0.50487 0.347346 0.45922 0.692323 1197.4 1.77945 0.0477146 1671.29 
1399.5 0.954909 1.23556 1274.27 -0.0745345 -1.96456 3167.16 0.103158 0.0493195 0.61573 0.906513 155.903 -1.44855 0.516012 2794.11 
1824.76 0.647167 0.748095 1725.19 -0.0589664 -2.30858 3934.19 0.334155 0.387255 0.612955 0.448709 39.806 2.23718 1.40417 3850.73 
471.829 -1.63772 -2.9504 365.492 -0.168669 -0.610857 1020.45 0.353165 0.77539 0.794223 0.859423 338.725 1.02651 0.835319 1150.38 
1522.45 -0.42596 -1.87528 1462.8 -0.255502 1.60811 3103.83 0.432664 0.488202 0.474694 0.590661 99.122 1.65324 0.0451356 3894.21 
1243.03 1.11447 2.60344 1121.03 -0.297041 -0.23144 3020.71 0.369301 0.359896 0.627221 0.761896 301.57 -1.06769 0.529542 2638.71 
949.21 0.143446 -1.05632 804.577 -1.0783 1.81769 2089.77 0.533279 0.670698 0.660705 0.8569 116.174 -1.9037 0.579797 2783.95 
1681.85 -0.216222 -2.67884 984.692 0.134464 0.293185 2721.26 0.152253 0.164769 0.839419 0.794733 115.023 0.741119 0.278363 3661.57 
1016.45 -0.961911 1.74301 285.244 -0.184447 1.23657 545.642 0.490543 0.691837 0.883264 0.474075 1077.6 -1.38287 2.61944 1584.92 
1056.25 -0.824373 -0.672569 231.764 -0.865277 0.275087 468.638 0.624039 0.759845 0.622209 0.835055 1170.79 2.37074 2.09565 1694.67 
822.371 1.05866 -0.120018 482.005 1.38048 -0.951549 609.512 0.334686 0.817593 0.657012 0.805457 1089.25 2.61262 0.42258 1510.8 
1260.57 -0.928497 1.69065 1195.1 0.791247 -1.28835 3495.66 0.312291 0.50988 0.666143 0.772634 173.329 1.92457 0.0713306 2924.65 
1437.93 0.112548 0.646113 264.055 0.744312 -0.886847 951.181 0.532345 0.473468 0.793998 0.726183 1642.1 -2.56018 0.0646966 2064.58 
714.363 -0.290358 -3.11144 309.037 -0.209808 1.92811 554.387 0.509496 0.636239 0.698296 0.589507 968.347 0.00597643 1.92214 1374.04 
1063.75 1.30929 1.23696 1004.46 -0.222543 -1.77925 2800.74 0.287633 0.134742 0.318485 0.545678 175.712 -2.97837 1.07374 2208.54 
654.056 -1.24228 -0.200144 573.308 -0.681592 3.00294 1318.01 0.622154 0.922478 0.469611 0.824275 27.8877 0.75644 0.956584 1441.13 
721.239 0.86457 3.01805 662.197 0.262226 -0.311313 1479.37 0.22508 0.145125 0.684401 0.868892 7.32338 2.9353 0.0827477 1608.3 
1209.58 -1.63459 1.07456 625.594 -0.276329 -2.23187 2182.88 0.294881 0.322963 0.925517 0.758609 680.612 -1.98015 0.251723 2029.6 
1522.56 0.069526 -2.15653 1417.47 0.778284 1.01444 3226.21 0.0576816 0.441493 0.343927 0.831495 361.21 1.0993 0.0848659 3658.02 
1486.63 0.141166 2.79928 1207.19 0.844171 0.0788127 2818.42 0.154162 0.497717 0.739178 0.749312 114.217 -0.153192 0.232005 4170.4 
572.755 -2.07576 0.137168 332.789 1.39126 3.06664 2551.92 0.611676 0.336553 0.709117 0.816445 269.26 -1.40624 1.33129 1479 
1184.48 0.334739 2.30063 1177.56 -0.690146 -0.437384 2687.97 0.453278 0.543858 0.493295 0.657453 150.54 -0.834266 0.396883 3491.61 
1618.19 -0.206798 -0.626215 865.156 -0.279795 -2.82914 2143.9 0.639685 0.582337 0.767713 0.812992 1228.28 1.89781 1.58536 3174.98 
1671.51 -0.503053 2.14934 230.074 -0.77209 -0.182241 1287.5 0.564184 0.73551 0.215752 0.750698 1515.8 -1.02208 0.0298284 2145.22 
1763.83 0.28421 0.360183 1668.92 -0.276837 -2.75355 3711.7 0.105415 0.297574 0.787799 0.384825 156.568 -2.90524 0.123832 3644.81 
1509.64 -0.19649 0.922996 1285.88 0.335123 -2.04989 2960.87 0.543571 0.254452 0.701777 0.413534 448.073 -2.81351 0.59491 2996.42 
653.283 1.36534 -2.98901 464.755 -1.20638 -0.242036 2135.96 0.641653 0.874289 0.806817 0.8654 40.7099 0.102021 0.344057 2013.61 
1603.37 0.495516 1.77789 207.728 0.438053 -0.512517 1187.34 0.38582 0.693433 0.583425 0.674586 1497.57 -1.43197 0.0682667 1892.33 
358.622 0.0293311 -2.08751 291.703 0.61567 -0.551645 491.252 0.686917 0.673478 0.703695 0.592216 202.741 1.24921 0.195133 1071.09 
862.182 -1.55412 1.94208 668.338 1.19664 -1.04951 3194.85 0.677494 0.620923 0.530375 0.708045 27.4982 1.48046 0.461628 2246.38 
654.207 1.94696 0.619645 459.111 -0.227338 -2.88874 1803.9 0.621331 0.716722 0.711395 0.839085 225.74 -0.3811 1.00075 1598.53 
671.229 -1.07565 2.77787 392.506 -1.9966 -2.79069 691.25 0.306995 0.3052 0.778545 0.570522 736.438 0.0367383 2.74113 1641.7 
347.072 1.13566 -1.60714 322.78 -0.0507775 2.00535 781.936 0.587286 0.540701 0.729234 0.651394 156.835 2.08926 0.0839088 1070.08 
980.664 -0.383235 -2.66847 628.861 0.682705 0.0285076 1809.04 0.242051 0.519036 0.827611 0.9271 59.4572 2.68543 2.21231 2882.27 
1189.35 0.731042 1.44583 223.952 -0.271533 2.03905 765.23 0.350893 0.558248 0.638542 0.856068 1315.32 -1.64784 0.545296 1601.96 
1336.74 0.198359 0.175186 300.985 -0.341826 2.18679 1211.21 0.200784 0.908902 0.86112 0.734505 1227.61 -2.77002 1.81522 1892.84 
667.398 -1.09759 0.378171 509.689 1.55789 2.84923 2328.49 0.488891 0.710148 0.783831 0.754563 300.052 -2.92278 0.159358 1720.3 
1426.87 -0.0219657 0.85512 1291.31 0.518508 -1.83271 2839.32 0.291214 0.209039 0.798301 0.506913 19.4326 2.26268 0.953804 3527.45 
559.924 1.85079 -1.15912 288.657 0.924429 -1.55616 499.055 0.350202 0.484937 0.872234 0.675447 768.195 1.70578 0.120345 1336 
340.86 0.610126 -1.00361 236.354 -0.445647 2.22795 658.88 0.660623 0.0477782 0.590633 0.622937 30.5199 0.694202 1.53375 898.163 
764.539 -1.07345 2.4842 412.547 -1.35345 1.5946 570.373 0.755532 0.653868 0.657303 0.805047 878.133 -0.978009 0.320613 1894.18 
841.312 -0.990895 0.240038 727.665 0.371879 -2.0089 1858.8 0.665197 0.365489 0.746265 0.748236 407.694 1.84903 0.716336 2306.33 
400.74 1.1514 -0.0489833 259.367 1.68211 3.1208 672.665 0.517689 0.586392 0.803277 0.631732 101.619 2.20871 0.912093 1097.05 
1585.28 -0.308996 0.23134 1215.76 -1.13013 -2.89183 3132.63 0.0874504 0.479406 0.596681 0.444947 184.892 -1.98518 0.90665 3420.7 
599.31 -0.487227 0.321145 539.022 -1.23832 3.03487 1236.08 0.53653 0.450012 0.642999 0.390273 369.546 -3.11951 0.299067 1617.33 
734.391 -1.55707 -0.723962 562.544 0.460379 2.75275 2008.68 0.571829 0.356285 0.63618 0.694079 125.116 2.67623 0.0765231 1991.58 
494.473 -0.631376 1.27445 258.509 -0.787885 -3.08433 599.678 0.772932 0.593668 0.712302 0.834594 551.427 -1.31207 1.77226 988.915 
433.232 0.232372 1.42979 239.537 0.0406114 -0.695527 597.957 0.444143 0.603706 0.667321 0.840916 364.669 -2.18584 0.474038 1090.09 
391.942 0.556785 1.72198 320.11 1.71624 -2.02484 830.788 0.409882 0.463138 0.661909 0.897872 72.3694 -0.132234 1.85421 1457.6 
1395.9 -0.519239 -1.80355 1060.43 0.871619 1.37806 3150.86 0.0771559 0.254193 0.77914 0.618703 343.414 1.33592 0.0421418 2562.41 
619.447 -0.440804 2.63857 392.858 1.04599 0.269384 1219.35 0.680769 0.780449 0.69852 0.75903 41.7824 -0.942707 0.43968 2634.25 
597.449 0.263337 -2.06596 377.869 -0.305241 0.368151 960.873 0.330724 0.733639 0.647735 0.741158 465.721 1.84559 0.76996 1051.81 
1149.16 0.781934 1.38304 1023.04 -0.797994 -1.98628 2956.36 0.189878 0.613087 0.425478 0.801701 151.182 1.35378 0.0292664 2587.75 
330.599 -0.813385 0.808932 329.549 -1.18137 -2.15236 671.5 0.558926 0.753913 0.802105 0.72272 84.7107 0.781249 0.0276824 1185.19 
996.846 -1.64804 0.461118 304.222 0.387783 -2.76501 1779.42 0.290892 0.555725 0.520889 0.805484 686.366 -2.66555 0.0994658 2189.44 
1498.62 0.0238247 1.38369 1432.67 0.50813 -1.76854 3099.14 0.160756 0.507368 0.879844 0.721821 81.9465 2.04046 0.65677 3121.87 
1459.35 -0.468246 -1.88972 249.266 0.335769 -1.48578 753.81 0.486549 0.70043 0.421756 0.81408 1715.46 1.35192 0.100047 2278.56 
977.044 -0.60561 0.467736 401.245 -0.387806 -0.362172 530.467 0.534425 0.637044 0.722651 0.820088 1138.97 -2.85127 0.17741 1926.01 
1349.1 -0.860651 -3.03584 644.071 0.625431 0.21236 2516.33 0.211652 0.627856 0.512345 0.359413 779.649 0.175665 0.0366942 2425.34 
1493.04 -1.19715 2.14825 1260.1 0.0696617 -1.03462 3470.87 0.0659429 0.474956 0.892845 0.641025 250.646 -0.740163 0.294452 2867.25 
1237.9 -0.632897 -1.24831 617.153 1.03832 1.70907 2467.28 0.223801 0.883262 0.427043 0.687911 280.227 0.826097 0.88297 2552.95 
1833.6 0.162773 -0.231577 1543.14 0.0895907 2.83689 3534.85 0.472986 0.633563 0.220626 0.611833 55.5819 -3.11893 2.81423 3795.74 
1601.18 -0.375023 -1.48511 1560.54 -0.847892 1.62594 3334.16 0.421922 0.157202 0.471293 0.648734 116.293 2.35041 0.693927 3365.18 
590.044 -0.371711 0.529779 433.037 0.588736 -2.73965 1138.24 0.312311 0.327709 0.69908 0.871332 368.052 -2.31379 0.425856 1472.45 
928.737 0.176471 -1.26194 669.046 0.0737618 2.07805 1630.52 0.372039 0.278722 0.684481 0.5646 279.784 1.80315 0.2749 1903.16 
622.133 1.49954 3.09597 323.011 -0.788814 -0.681361 1532.02 0.586346 0.877578 0.786464 0.751985 667.555 0.343597 1.02496 1309.47 
1334.17 -0.303371 2.11972 692.417 1.41381 -1.00667 2754.56 0.27457 0.610232 0.507839 0.749379 151.449 -0.946992 0.0596775 2909.6 
755.514 -0.360081 0.073468 561.866 -0.330989 1.21871 805.021 0.162371 0.216931 0.875497 0.652975 455.809 -2.49744 0.574556 2468.48 
1458.2 -0.151832 -1.6274 497.671 -0.633602 -2.97255 1168.99 0.355705 0.201918 0.397211 0.840913 1611.48 1.17283 1.00379 2030.21 
