pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
152.694 -0.21239 2.68175 131.698 -2.58856 -0.41439 511.328 0.807665 0.312209 0.844227 0.566846 26.416 2.46745 0.214301 345.041 
250.883 -2.87221 0.0250213 238.223 1.00805 -2.69606 1745.85 0.723488 0.317174 0.765026 0.830923 54.8006 -3.08899 0.392928 721.552 
321.491 0.306277 -2.82154 250.578 1.15345 0.489472 622.622 0.788864 0.70931 0.877457 0.703034 21.7893 -2.92434 0.102801 1243.98 
172.469 -0.89295 2.88156 162.727 -2.46442 -0.297796 445.689 0.623774 0.811973 0.463426 0.772218 19.7806 -0.0679636 0.229832 332.025 
315.633 -2.15089 1.54216 157.958 1.36463 -1.55448 1336.94 0.783365 0.698623 0.807152 0.800439 21.4628 -1.67874 0.0793088 597.349 
163.241 -2.01566 -2.40684 147.415 -0.911515 0.772147 364.136 0.826408 0.891971 0.839175 0.741565 30.4667 0.297995 0.474152 303.968 
229.133 -2.09435 -0.433757 221.581 -1.80335 2.73499 471.988 0.477105 0.699742 0.854871 0.59655 5.47376 1.75549 0.979504 465.61 
166.394 -1.91444 -1.31405 162.952 0.769277 1.5853 674.957 0.607763 0.801411 0.841821 0.822495 10.8552 2.41526 0.587718 351.508 
179.584 -1.29673 1.53096 154.016 0.323644 -1.5411 451.985 0.858366 0.825716 0.792362 0.747651 5.14896 -0.200422 1.34067 357.955 
214.691 1.43887 2.07346 159.709 -0.500912 -1.371 565.148 0.902601 0.748052 0.767107 0.865518 28.4963 -0.251954 1.11905 396.612 
296.67 -0.393215 2.94699 200.789 -0.838283 -1.01574 502.491 0.659528 0.394679 0.7545 0.830332 42.9297 1.11317 1.83382 638.374 
190.087 2.61045 0.220061 166.557 2.90003 -3.00883 375.875 0.743312 0.520813 0.730262 0.761697 80.2343 0.000990355 0.219071 590.627 
370.806 0.418471 1.83418 316.079 -1.50392 -0.951452 1088.4 0.329803 0.351178 0.778737 0.748236 148.74 -1.16761 0.216155 844.016 
155.076 3.09045 -0.538995 94.5841 1.43968 2.86236 350.219 0.439409 0.59507 0.582792 0.863092 4.95226 1.81241 1.04996 280.874 
184.806 -0.436543 -2.35735 159.5 0.844458 0.587519 430.745 0.729925 0.839902 0.718365 0.771176 13.103 2.01125 1.22701 373.272 
177.589 -3.20466 1.26174 154.263 -2.10243 -0.673669 351.839 0.246454 0.680609 0.538599 0.819533 15.3293 1.30967 0.0479271 635.661 
189.593 -0.666389 0.493857 121.92 -1.34645 -2.43893 338.133 0.631851 0.458268 0.788983 0.708445 51.8335 -2.30303 0.135906 408.932 
215.273 0.32001 -1.87815 159.133 0.164214 1.36494 380.661 0.437528 0.758422 0.787774 0.899518 39.6744 1.77691 0.411967 412.442 
215.606 1.56518 2.80417 183.232 1.09704 -0.263922 431.985 0.764899 0.375765 0.713601 0.780536 4.44445 -1.48289 1.14547 450.483 
230.971 -2.87191 -0.0166672 206.366 1.56691 -3.05207 2045.34 0.244759 0.739905 0.74867 0.751999 7.98887 1.09492 1.0054 469.453 
319.18 1.062 2.6027 221.014 1.95927 -0.471559 597.085 0.706658 0.814501 0.892845 0.753127 34.8466 2.2389 0.3638 672.112 
223.338 0.715342 1.61469 218.811 0.858781 -1.43072 451.279 0.74682 0.886361 0.950066 0.865472 7.92927 -2.40444 0.877544 468.764 
184.197 1.92104 1.34028 138.761 2.04766 -1.7216 330.306 0.594489 0.692177 0.613771 0.860339 24.3162 -1.45371 0.267885 343.17 
182.268 -2.69591 -2.04523 111.242 0.996385 1.19202 928.943 0.686044 0.638027 0.646656 0.862988 10.0775 -2.08138 0.0361485 373.655 
216.366 -2.58825 1.79717 192.14 -1.54378 -1.26976 467.237 0.329358 0.747294 0.541163 0.801084 20.3638 -1.80329 0.458867 407.808 
176.294 2.30783 2.5376 126.011 0.656315 -0.477892 444.065 0.741506 0.703012 0.791126 0.709877 39.5623 -0.111423 0.366469 345.799 
175.943 2.69363 -2.05041 161.857 1.11597 0.973904 471.649 0.374702 0.573312 0.0697774 0.692332 20.7159 -0.14515 1.11905 365.272 
171.282 -0.447154 -0.662027 160.88 -1.10825 2.6495 352.956 0.689433 0.83583 0.882215 0.852353 12.0911 -1.77631 1.11428 388.043 
179.54 -0.122776 -2.42923 143.662 -0.671305 0.719336 341.201 0.641085 0.560049 0.864998 0.774279 28.2442 0.872759 0.153423 327.66 
206.59 1.01888 1.71072 182.366 1.5888 -1.40628 412.037 0.685012 0.710495 0.882972 0.632761 8.14169 -1.63567 0.204797 371.606 
193.745 -2.40047 -1.70558 164.748 -0.926565 1.37473 468.911 0.593938 0.779715 0.820472 0.83738 18.6706 1.38574 0.0110112 351.379 
171.984 1.66301 1.5584 157.312 1.19098 -1.69243 352.148 0.520566 0.720247 0.882141 0.815606 4.57234 -1.24111 0.451316 548.325 
225.096 0.819774 -2.80749 184.447 -0.0697775 0.33465 463.218 0.453794 0.552234 0.555962 0.789775 23.8148 -0.117586 0.452236 412.526 
139.087 -1.0518 -2.32299 116.809 3.48681 0.777342 1253.64 0.474894 0.470974 0.846871 0.779573 13.5991 1.73846 0.919859 272.391 
214.808 -1.04202 0.22023 195.644 -0.887394 -2.86105 439.974 0.583752 0.592043 0.864882 0.819269 13.3483 -2.84266 0.0183868 375.24 
297.855 0.130103 -0.771004 295.934 0.551759 2.41614 630.156 0.877383 0.606306 0.830648 0.79459 36.2314 2.10116 0.314985 580.098 
183.809 0.0247018 2.67174 158.049 -0.0972409 -0.113739 347.647 0.727986 0.586424 0.872013 0.888829 28.8924 -0.446246 0.332507 388.995 
176.402 -1.60207 -0.841325 170.568 0.523986 2.36817 572.279 0.809378 0.49586 0.655711 0.629853 8.82618 -0.932418 0.0910933 333.008 
181.999 0.195931 3.05171 177.36 0.155836 0.282357 365.722 0.722282 0.726269 0.699444 0.763593 13.4663 -2.2433 2.15342 455.921 
196.058 0.413942 2.08107 179.672 0.528253 -0.969768 385.746 0.693847 0.504203 0.758547 0.876117 16.8778 -0.401104 0.568664 392.751 
206.087 -1.62909 1.51002 172.023 -0.145895 -1.61976 506.439 0.745414 0.590201 0.921611 0.616749 18.3059 1.25016 0.259865 511.714 
195.807 -0.464722 0.284128 121.224 0.27319 -0.737429 214.87 0.60645 0.393918 0.711708 0.872852 44.405 2.81217 0.408008 559.113 
309.916 1.48769 2.11494 271.307 -0.604625 -1.02817 942.69 0.897758 0.546136 0.765629 0.866136 21.5511 -1.60872 0.580552 581.605 
181.017 -1.60466 1.65337 162.675 2.61899 -0.814816 1435.73 0.851198 0.501802 0.784843 0.756762 4.56523 0.125355 0.940171 455.239 
370.187 1.21731 2.17957 208.134 -1.44268 -0.693903 1130.44 0.372158 0.79321 0.78896 0.863713 27.9217 -0.771837 0.0779334 738.034 
287.272 0.0584567 0.142217 171.351 -2.30281 -2.57137 793.424 0.871511 0.821448 0.77937 0.746555 62.6773 -2.60717 0.0357971 775.815 
222.154 -1.06848 2.89829 203.605 0.457743 -0.39085 563.934 0.765602 0.731552 0.796885 0.832216 27.4258 0.541989 0.932839 399.23 
208.003 0.312077 2.67186 179.025 -2.79024 -0.470096 974.156 0.615656 0.467557 0.729635 0.698388 30.8807 -0.522856 0.0527598 398.47 
191.58 0.00776981 1.51133 151.776 2.65689 -1.80964 693.412 0.6968 0.634858 0.767616 0.644818 25.5841 -1.84864 0.0390016 434.386 
280.296 0.0644475 1.65321 140.062 -1.93586 -1.68225 614.851 0.889244 0.76715 0.905698 0.72463 15.7618 -1.0288 0.653443 565.917 
146.142 0.639991 0.868141 137.826 3.06298 -2.16608 534.5 0.526491 0.721896 0.698532 0.65081 18.1314 -1.31641 0.849671 268.577 
192.048 -0.948537 1.67848 187.287 -0.362362 -1.57293 406.345 0.894749 0.77718 0.562155 0.710832 6.20708 -0.645881 0.92705 424.201 
197.484 -1.26671 -2.57038 182.147 -0.0965206 0.483067 447.883 0.777679 0.695449 0.876127 0.875998 5.77471 0.698314 0.1271 381.624 
192.037 -0.362887 2.19243 173.21 0.873107 -0.659201 446.307 0.837695 0.695588 0.792386 0.737812 23.2082 -1.17747 0.228308 375.357 
199.731 -2.63832 -1.49276 176.484 -0.327668 0.227988 619.245 0.783039 0.800576 0.895125 0.786594 30.9228 -2.85452 1.36177 639.227 
203.455 -0.860182 -0.0698405 186.473 -2.63025 2.5885 553.58 0.887475 0.674951 0.81361 0.751768 35.7011 3.00444 0.415935 703.982 
182.605 2.2251 -1.46541 169.356 -0.444919 1.8532 718.758 0.606951 0.582379 0.91253 0.749185 11.0801 1.07068 0.782517 353.171 
204.649 -1.64648 0.535659 167.812 -0.11246 -2.54585 497.668 0.711704 0.423371 0.890744 0.794441 22.1334 -3.12787 0.521937 399.271 
184.328 0.787473 -2.11941 167.095 -0.963481 1.09034 504.534 0.804807 0.772362 0.85359 0.905891 10.5532 2.23435 1.14402 320.026 
155.513 1.0528 -1.55346 153.195 -1.26804 1.55895 549.725 0.816918 0.568991 0.882554 0.701076 7.37423 -0.779971 0.773493 320.239 
183.832 0.0314048 3.13245 172.306 -0.572544 0.010781 375.462 0.831369 0.823964 0.697031 0.810695 25.3305 -0.136554 0.12741 359.248 
214.939 -1.38079 -2.93008 94.7995 3.34374 -0.405222 1531.06 0.360191 0.719593 0.91181 0.721379 11.603 -1.48376 1.07854 502.682 
177.146 -0.469978 1.75784 123.465 0.919346 -0.946167 377.824 0.833017 0.416968 0.651366 0.773891 8.73846 1.9431 0.185257 413.786 
350.666 -0.954515 -0.952927 271.545 -2.13761 2.37352 730.919 0.866 0.326318 0.767969 0.786117 68.5404 1.55644 0.817078 671.514 
294.251 -0.194495 -1.3086 268.329 1.63247 1.89391 830.854 0.741321 0.40467 0.831583 0.872451 23.6402 2.91312 1.01921 612.217 
186.594 -0.872661 1.88642 167.643 -2.39803 -1.31872 505.319 0.447014 0.664279 0.640653 0.744486 33.7652 -1.06402 0.254702 338.775 
153.773 2.13816 2.66906 131.837 1.61697 -0.422924 298.982 0.627128 0.674023 0.798048 0.904547 23.4133 2.66223 0.00683379 308.292 
217.547 1.38867 1.13088 145.155 -0.123456 -2.47739 490.051 0.332134 0.641374 0.876874 0.559458 43.8028 -2.15342 0.142705 465.441 
178.677 0.123863 2.59343 145.797 -3.17157 -0.411526 882.132 0.866669 0.74459 0.810166 0.679296 30.5742 -0.541879 0.130354 311.731 
172.355 1.20097 2.47677 164.298 1.02934 -0.644186 357.775 0.543482 0.365948 0.835914 0.759888 9.89525 0.463074 1.10726 332.103 
264.29 1.51713 -0.671549 256.972 -0.641043 2.49813 865.413 0.369829 0.736017 0.861571 0.658528 39.4354 -0.580606 0.090943 511.512 
314.919 2.04765 2.92148 224.647 -1.17429 0.0336148 1385.77 0.633001 0.734495 0.753104 0.88491 16.8976 -2.13678 1.91667 642.95 
160.884 -0.751514 0.596065 148.739 3.35554 -3.11178 1228.32 0.73339 0.734119 0.80922 0.746491 37.2741 2.64963 2.05357 447.528 
213.766 -0.773273 -2.89862 204.397 -0.729813 0.328831 444.833 0.500428 0.341049 0.642328 0.685413 19.1525 1.10495 0.776115 405.336 
204.631 -0.854928 2.05989 161.943 -0.28653 -1.32756 393.637 0.683484 0.545564 0.787994 0.796455 35.6796 -0.993898 0.333661 407.269 
242.193 -0.129338 -2.78126 142.928 0.360624 -0.202551 379.516 0.460518 0.312678 0.819526 0.752058 20.1679 -0.108536 0.094015 564.418 
188.724 1.27977 2.64401 164.46 0.192232 -0.738973 409.785 0.892023 0.788568 0.873537 0.859238 24.122 -1.619 0.880027 379 
188.864 -0.880017 -1.94341 175.913 3.02389 0.937915 1313.27 0.567816 0.524223 0.849959 0.528472 5.75385 -0.243568 1.18148 423.332 
234.628 -1.56234 -2.38595 227.584 -1.01524 0.725856 493.768 0.714988 0.569825 0.875668 0.797352 5.60976 0.265644 0.460212 431.328 
233.78 2.26312 0.994087 213.284 1.18295 -2.32196 527.02 0.834975 0.641709 0.87359 0.775289 14.3294 -2.93886 0.616901 464.454 
233.024 0.533463 -2.62712 199.406 -0.913219 1.14425 538.43 0.646082 0.592621 0.853784 0.736397 42.6383 2.02438 0.880128 672.992 
181.076 -1.68187 -0.00708013 179.643 -1.91054 3.01438 366.17 0.839842 0.75133 0.846568 0.884221 7.41449 2.29717 0.71721 386.165 
194.892 2.03279 -2.30928 178.334 0.330387 0.683533 540.897 0.820127 0.736746 0.860061 0.622337 30.5044 1.5639 0.731585 346.922 
152.985 0.410001 -0.77904 126.022 2.67305 2.59089 498.117 0.631878 0.72618 0.83637 0.782552 31.7454 1.83055 0.760347 241.255 
200.393 2.14424 1.73526 184.199 1.18408 -1.54245 444.588 0.760639 0.58269 0.892012 0.853627 4.2345 1.50584 0.229419 362.632 
332.517 0.766784 -2.17881 185.66 -0.701872 0.77011 648.337 0.754445 0.653387 0.803545 0.777364 101.938 0.92236 0.15225 560.276 
242.806 -0.62865 -1.54863 204.912 -1.33824 1.60099 485.042 0.530652 0.770982 0.803856 0.883339 19.4973 -0.631362 0.91727 639.695 
253.68 -2.1983 -1.15199 95.5161 -0.686175 2.06687 427.132 0.570349 0.7995 0.75116 0.645334 133.076 1.93763 0.129237 327.726 
216.519 -0.782899 -2.49347 203.979 2.57703 0.80579 1171.23 0.805086 0.67325 0.784164 0.78692 27.53 0.172402 0.633388 400.256 
388.161 -0.405361 2.82185 304.755 1.74954 0.185536 1124.93 0.806479 0.304679 0.898579 0.865254 34.6129 -0.177338 0.362874 884.858 
171.849 1.90223 -1.82094 143.951 -0.620282 0.861174 604.671 0.647883 0.357924 0.733162 0.770176 13.8405 -1.80202 0.0189179 394.845 
217.772 -2.06938 1.81231 125.868 -0.739502 -0.778928 411.218 0.713685 0.875113 0.903819 0.890861 64.8446 -1.28093 0.502005 391.543 
334.033 -0.7717 2.14998 108.186 -0.791791 -0.770271 437.447 0.505843 0.535806 0.641454 0.827225 60.4241 -0.87975 0.109479 711.025 
158.418 -0.442358 -2.47077 154.294 -1.81601 0.616315 397.517 0.777725 0.609015 0.611124 0.619775 13.7985 2.54184 1.87103 307.39 
163.117 -0.507085 -0.431463 162.13 -0.804166 2.81012 345.449 0.677816 0.879378 0.786019 0.720692 10.2276 -1.48246 1.051 317.943 
215.764 2.4448 -0.411501 184.438 -0.927949 2.67338 1122.34 0.801242 0.806838 0.721802 0.816421 14.7732 -2.51525 2.04704 369.317 
203.428 -0.532147 -0.266952 121.826 -1.19031 3.01878 342.672 0.526 0.780483 0.822753 0.887425 32.4746 2.78703 0.231745 373.066 
245.858 -0.480859 -1.03784 193.755 -2.77748 2.37088 768.883 0.6194 0.471398 0.786969 0.649315 19.0076 2.2763 0.0945764 511.468 
170.976 -0.97623 -2.87738 149.389 -1.09595 0.176156 327.151 0.676395 0.785517 0.828172 0.77517 13.2997 -2.86231 0.0150609 346.953 
265.986 0.866567 -1.22197 222.288 -2.94273 1.69859 1675.07 0.644804 0.393625 0.942814 0.572813 21.5375 0.816327 0.882262 601.609 
160.944 -0.154851 -1.11444 92.0546 -2.4998 2.6435 447.039 0.633577 0.473386 0.690914 0.767956 59.8038 2.70803 0.0645328 382.268 
235.761 -0.413289 1.32289 159.615 -0.770443 -1.88602 401.766 0.777704 0.732842 0.876777 0.712943 53.2808 -1.70505 0.180963 384.158 
171.854 2.5266 2.32811 165.173 -0.0642364 -0.82539 666.647 0.462642 0.686187 0.743227 0.838676 10.3648 -0.528021 0.29737 335.703 
295.097 2.49228 -2.36881 168.709 1.50337 1.09391 521.682 0.812038 0.695272 0.751752 0.829087 105.958 0.775065 0.00228676 487.536 
186.078 -1.09397 2.25322 176.782 -0.145661 -1.91071 378.104 0.759177 0.798562 0.80596 0.868297 33.2137 -0.313473 1.59724 646.949 
219.684 -1.67232 -2.53698 191.878 1.64286 0.923432 1122.19 0.244449 0.618689 0.90847 0.759157 12.9992 -2.57531 0.0383322 512.715 
164.541 0.750755 -2.0997 93.7595 -0.856389 1.34374 340.717 0.630674 0.747759 0.816243 0.66674 40.3322 1.18007 0.138182 279.924 
161.752 0.502801 -2.67705 116.349 0.621295 0.954081 273.552 0.659942 0.672459 0.843504 0.867237 17.6521 -1.62558 1.05148 432.707 
219.481 2.59265 -1.84926 115.748 2.24762 1.18156 354.57 0.397071 0.644075 0.828144 0.582815 111.153 1.28538 0.103823 364.661 
